what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.context.core,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.core",1545228722788
started,bundle,org.eclipse.mylyn.context.ui,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.ui",1545228722806
started,bundle,org.eclipse.mylyn.monitor.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.monitor.ui",1545228722808
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.tasks.ui",1545228722809
started,bundle,org.eclipse.mylyn.team.ui,3.4.2.v20100909-0100-e3x,"org.eclipse.mylyn.team.ui",1545228722810
started,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1545228722828
started,bundle,org.eclipse.team.core,3.5.100.R36x_v20100825-0800,"org.eclipse.team.core",1545228722841
started,bundle,org.eclipse.team.cvs.core,3.3.300.I20100526-0800,"org.eclipse.team.cvs.core",1545228722849
started,bundle,org.eclipse.team.cvs.ui,3.3.301.R36x_v20100825-0800,"org.eclipse.team.cvs.ui",1545228722858
started,bundle,org.eclipse.team.ui,3.5.101.R36x_v20100825-0800,"org.eclipse.team.ui",1545228722865
started,bundle,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui",1545228722867
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1545228722877
started,bundle,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.editors",1545228722893
started,bundle,org.eclipse.ui.forms,3.5.2.r36_v20100702,"org.eclipse.ui.forms",1545228722895
started,bundle,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.ide",1545228722904
started,bundle,org.eclipse.ui.intro,3.4.0.v20100427,"org.eclipse.ui.intro",1545228722915
started,bundle,org.eclipse.ui.intro.universal,3.2.402.r36_v20100702,"org.eclipse.ui.intro.universal",1545228722915
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1545228722916
started,bundle,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views",1545228722916
started,bundle,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"org.eclipse.ui.workbench",1545228722918
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1545228722919
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1545228722929
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1545228722947
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1545228722963
os,sysinfo,,,"win32",1545228722969
arch,sysinfo,,,"x86",1545228722969
ws,sysinfo,,,"win32",1545228722969
locale,sysinfo,,,"en_US",1545228722969
processors,sysinfo,,,"2",1545228722969
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1545228722969
java.runtime.version,sysinfo,,,"1.8.0_192-b12",1545228722969
java.specification.name,sysinfo,,,"Java Platform API Specification",1545228722969
java.specification.vendor,sysinfo,,,"Oracle Corporation",1545228722969
java.specification.version,sysinfo,,,"1.8",1545228722969
java.vendor,sysinfo,,,"Oracle Corporation",1545228722969
java.version,sysinfo,,,"1.8.0_192",1545228722969
java.vm.info,sysinfo,,,"mixed mode",1545228722969
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1545228722969
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1545228722969
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1545228722969
java.vm.specification.version,sysinfo,,,"1.8",1545228722969
java.vm.vendor,sysinfo,,,"Oracle Corporation",1545228722969
java.vm.version,sysinfo,,,"25.192-b12",1545228722969
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1545228725700
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1545228725729
closed,view,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.internal.introview",1545228725766
started,bundle,org.eclipse.debug.core,3.6.0.v20100519,"org.eclipse.debug.core",1545228729079
started,bundle,org.eclipse.jdt.launching,3.5.100.v20100526,"org.eclipse.jdt.launching",1545228729103
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1545228730011
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1545228740350
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1545228743833
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1545228745425
started,bundle,org.eclipse.ltk.core.refactoring,3.5.100.v20100526-0800,"org.eclipse.ltk.core.refactoring",1545228756502
started,bundle,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring",1545228756533
started,bundle,org.eclipse.jdt.debug,3.6.1.v20100715_r361,"org.eclipse.jdt.debug",1545228769379
